title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price,course_description,course_syllabus,course_url
Introduction to Hyperledger Blockchain Technologies,"A primer to blockchain, distributed ledgers and Hyperledger technologies.","138,884",Self-paced on your time,The Linux Foundation,Alexandra Groetsema-Arianna Groetsema-Navroop Sahdev-Nathalie Salami,Introductory,Business & Management,English,English,3–4 hours per week,14 Weeks,FREE-Add a Verified Certificate for $199 USD,"Discover the power of business blockchains and distributed ledger technologies with an overview of Hyperledger andits key frameworks. All over the global market there are ledgers that organizations and individuals alike must trust. Blockchain technologies record promises, trades, transactions or simply items we never want to disappear, allowing everyone in an ecosystem to keep a copy of the common system of record. This introductory course is carefully curated for nontechnical, business-oriented audiences. It examines blockchains for the enterprise and a number of pertinent use cases from Hyperledger, a global cross-industry community of communities hosted by The Linux Foundation and advancing business blockchain technologies. Hyperledger is incubating and promoting enterprise grade, open source business blockchain software, on top of which anyone can set up apps to meet cross-industry needs. The course covers key features of blockchain technologies and the differentiators between various types of Hyperledger projects. We'll start with ‘what is blockchain’ and open the discussion to identifying suitable blockchain use cases for your business requirements. We will then take a deeper dive into the enterprise-ready Hyperledger blockchain frameworksand tools. Students will gain an understanding of how blockchains work and how they can create value for their business through cost-savings and efficiencies, in terms of speed and simplicity. They will view how information is generated, stored, and shared in various blockchains, as well as gain tools to evaluate whether or not a blockchain solution would be suitable for their particular business case. Industries today are usingblockchain technologies to increase efficiency and solve business problems associated with data privacy, security, information sharing, and inclusion. Be on the cutting edge; learn about these innovative technologiesand bring unique value to your business.","Welcome!
Discovering Blockchain Technologies
Introduction to Hyperledger
Hyperledger Frameworks
Hyperledger Tools
The Promise of Business BlockchainTechnologies
What's Next
Final Exam",https://www.edx.org/course/introduction-to-hyperledger-blockchain-technologie
MathTrackX: Integral Calculus,Discover concepts and techniques relating to integration and how they can be applied to solve real world problems.,NA,Self-paced on your time,University of Adelaide,Dr Danny Stevenson-Dr Brendan Harding-Dr Melissa Humphries-Dr David Butler,Introductory,Math,English,English,3–6 hours per week,4 Weeks,FREE-Add a Verified Certificate for $79 USD,"This course is part four of the MathTrackX XSeries Program which has been designed to provide you with a solid foundation in mathematical fundamentals and how they can be applied in the real world.This course will cover basic concepts and techniques relating to integration, another fundamental tool of calculus. Integration is key to understanding the accumulation of a quantity given its rate of change.Guided by experts from the School of Mathematics and the Maths Learning Centre at the University of Adelaide, this course will cover concepts and techniques to provide a foundation for the applications of differentiation in STEM related careers and/or further study at the undergraduate level.Join us as we provide opportunities to develop your skills and confidence in applying mathematics to solve real world problems.",,https://www.edx.org/course/mathtrackx-integral-calculus
Solar Energy Engineering: Comprehensive Exams,Finalize the Solar Energy Engineering program to become a MicroMasters graduate.,NA,Self-paced on your time,Delft University of Technology,Arno Smets-Miro Zeman-René van Swaaij-Olindo Isabella,Advanced,Engineering,English,English,4–6 hours per week,8 Weeks,FREE-Add a Verified Certificate for $250 USD,"In this course you will gain access to two final exams. The first exam covers the content of PV1x and PV2x, and the second exam covers the content of PV3x and PV4x. For each exam you are given two attempts. You will be given exam preparation material to help you prepare.The exams are offered in the format of proctored exams. To read more about proctored exam and to review the technical requirements, review the edX's help pages.",,https://www.edx.org/course/solar-energy-engineering-comprehensive-exams-2
Mercados de capital y participantes claves,"Aprenda sobre mercados financieros globales, incluido la estructura y los tipos de los mercados de capital, y cómo identificar a los participantes claves y su impacto en el mercado.","7,210",Self-paced on your time,NYIF,Jack Farmer,Introductory,Economics & Finance,Español,Español,1–2 hours per week,2 Weeks,FREE-Add a Verified Certificate for $49 USD,Este curso explora la interacción económica entre intermediarios financieros (financiamiento indirecto) y mercados (financiamiento directo) en la asignación de capital y la creación de oportunidades de inversión.Usted aprenderá sobre mercados financieros globales incluido cómo trabajan juntos la banca y los mercados financieros. Aprenderá sobre los tipos de intermediarios financieros y sobre cómo identificar los motores detrás de la distribución global de bonos con grado de inversión por moneda y de capitalización del mercado de capitales por país.,LO1: Introducción a mercados financieros globalesLO2: Principales mercados de capitalLO3: Capitalización de mercado de capital globalLO4: Estructura y tipos de mercado de capitalLO5: ¿Quién emite e invierte en valores y por qué?LO6: Lado Comprar frente al lado VenderLO7: Otros negocios de banca de inversiónLO8: Suscripción de capital,https://www.edx.org/course/mercados-de-capital-y-participantes-claves
Introducción al desarrollo de videojuegos con Unity,"Aprende a desarrollar videojuegos multiplataforma utilizando una de las herramientas más populares del mercado, el motor de juegos de Unity.","27,474",Self-paced on your time,Universitat Politècnica de Valencia,Jordi Linares Pellicer,Intermediate,Computer Science,Español,Español,3–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $50 USD,"Nunca antes el mercado de los videojuegos se ha encontrado en un mejor momento. En la actualidad existen multitud de plataformas disponibles y la irrupción de los dispositivos móviles ha revolucionado el sector.La existencia de múltiples plataformas implica grandes retos para los desarrolladores en la toma de decisiones, tanto en la elección de las plataformas como en el dimensionamiento de los equipos de trabajo.Una solución a estos problemas es utilizar un motor de juegos, y sin lugar a dudas el motor más popular y usado del momento es Unity.Unity es el motor más popular por razones como sus poderosas herramientas, su capacidad de generar juegos en más de 20 plataformas distintas, su excelente curva de aprendizaje y los centenares de complementos disponibles para él desarrollados por terceros.UnidadesEn este curso de introducción al desarrollo de videojuegos con Unity aprenderás de manera práctica con numerosos ejemplos que te guiaran paso a paso:",,https://www.edx.org/course/introduccion-al-desarrollo-de-videojuegos-con-unit
Incorporating Renewable Energy in Electricity Grids,This course is part of a Professional Certificate,"10,430",Self-paced on your time,Imperial College London,Ajay Gambhir,Intermediate,Energy & Earth Sciences,English,English,2–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,,,https://www.edx.org/course/incorporating-renewable-energy-in-electricity-grid
Herramientas de la Inteligencia de Negocios,"Aprende el proceso de extraer y transformar data para generar insumos y tomar decisiones. Usa software, herramientas y sistemas de apoyo.","24,130",Self-paced on your time,Universidad Galileo,Jorge Samayoa-Preng Biba,Introductory,Data Analysis & Statistics,Español,Español,5–6 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,"Con este curso en línea aprenderás a tomar decisiones empresariales exitosas. Para ello, aprenderás el proceso completo desde extraer data, hasta su integración, visualización, depuración, análisis y uso. Podrás transformar data cruda en insumos para la toma de decisiones. Dominarás el uso de software, herramientas y sistemas de apoyo.Podras utilizar Power BI como una poderosa herramienta para el análisis de negocios, aprendiendo a utilizar un dashboard para hacer más fácil el proceso de decision making y reporting.Este curso en línea sobre herramientas de business intelligence te permitirá practicar la teoría. Tendrás acceso a recursos como tutoriales, casos practicos y ejemplos de casos reales que nutrirán el conocimiento adquirido. Conocerás el poder de la data para aplicarla a negocios grandes o pequeños.Este es el segundo curso del Programa de Certificación Profesional de Inteligencia de Negocios. El primero es sobre Estadística aplicada a negocios. Te recomendamos completar ambos para que adquieras conocimiento teórico y experiencia práctica. Tendrás el respaldo de la experiencia de Jorge Samayoa, Ph.D. por la Universidad de Purdue.Lo que no puedes dejar pasar",,https://www.edx.org/course/herramientas-de-la-inteligencia-de-negocios
Overview & Management of Parkinson’s Disease,"Provides an overview of Parkinson’s disease, including risk factors, stages, symptoms, medications and treatments. Explores the experience of aperson with Parkinson’s disease, as well as, special care considerations when hospitalized.",NA,Self-paced on your time,Salisbury University-University System of Maryland,Mary DiBartolo,Intermediate,Medicine,English,English,2–3 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,"Are you a nurse, physical therapist or other healthcare professional who wants to learn more about Parkinson’s disease and how this movement disorder is managed? Here are the key areas that will be addressed over 5 modules: ",Week 1: OverviewWeek 2: SymptomsWeek 3: Non-pharmacologic InterventionsWeek 4:Week 5: The Hospitalized Patient with Parkinson’s Disease,https://www.edx.org/course/overview-management-of-parkinsons-disease-2
Conociendo los costos,"Se aborda la contabilidad de costos que se enfoca en los usuarios internos de la información contable y financiera, y en conjunto con los presupuestos, integran la base de la planeación estratégica, sin la cual sería imposible efectuar planes a mediano y largo plazo.",NA,Self-paced on your time,Universidades Anáhuac,Laura Avila Rodríguez-Lourdes Rojas Cataño,Intermediate,Economics & Finance,Español,Español,5–7 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,"En este curso se maneja la información relacionada con la contabilidad de costos, que forma parte de la contabilidad administrativa y se enfoca en los usuarios internos de la información contable y financiera que, en conjunto con los presupuestos, integran la base de la planeación estratégica. Por lo anterior, en este curso abordaremos: Los costos son aplicables y necesarios en cualquier ente económico: comercial, industrial o de servicios, sin embargo, este curso se enfocará a los costos de una industria de transformación, ya que nos brindarán las bases para comprenden los costos y aplicarlos a empresas comerciales y de servicios. Los contenidos han sido desarrollados y organizados por expertos con experiencia como Gerentes administrativos en organizaciones: Heidrick & Struggles, BANOBRAS en y con varios años como docentes y como miembros Colegio de Contadores Públicos. De este modo, el curso está diseñado pensado en la conjugación de las exigencias educativas de una de las principales universidades de México y haciendo énfasis en las habilidades que debes aplicar en cualquier entorno laboral.","En este módulo diferenciarán los elementos del costo y los factores críticos que se pueden presentar al momento de determinar cómo integrar cada uno de ellos, para la correcta asignación de costos a los diferentes objetos del costo. En este módulo identificarán los elementos del Estado de Costo de Producción y Costo de Ventas, que le permitirá elaborar el Estado de Resultados En este módulo se abordan los sistemas de costos, que representan una técnica para determinan los costos de producción de una entidad, tomando en cuenta las características de producción, el método de costeo y el momento de determinación de los costos. En este módulo se trabajarán los costos predeterminados, considerando los costos estimados y costos estándarEn este módulo se explican las diferencias entre el costeo absorbente y el costeo variable.",https://www.edx.org/course/conociendo-los-costos
Sprint Planning for Faster Agile Team Delivery,"Drive speed into any project with prioritized backlogs, limiting work-in-process, and engaging the entire agile team in effective sprint planning.","10,654",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",John Johnson,Advanced,Engineering,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $199 USD,"Version 2 of this course series delivers beyond the original agile certification. It includes updated content, better audit and verified learner experiences, and bonus videos on key topics.The follow-on to this course series on “Advanced Scrum” is expected by the end of Summer 2020. Speed is by far the most sought-after benefit of Agile. First mover advantages, the economic cost of delays, and the enabling effect on innovation drive the search for speed. Agile offers the fastest means of attaining speed: managing scope. But beyond the hype over scope management, there are key principles of non-traditional task management that ensure the scope chosen is delivered as efficiently as possible.In this course, you'll learn how to drive speed into any project by selecting and limiting work-in-progress through agile planning and task management. There are two principle roles involved, the scrum master and the product owner. However, the entire scrum team needs to understand the principles behind backlog refinement, sprint planning, and execution throughout the sprint cycle.In this course we'll show you how to run effective sprint planning meetings that produce a sprint backlog ready to deliver on your sprint goals and release objectives. You'll learn the power of prioritizing backlog items, and why we agile planning and sprint planning isn't just a managed list you work top-down in priority order. Instead, scrum teams commit to achieving goals and work together to ensure the user stories that are highest priority get delivered in this sprint, so the upcoming sprint isn't delayed. This also means understanding your team capacity and how to ensure safe and on-time delivery of the highest items on the product backlog that actually matter to your customer.While this course will not make you an agile certified practitioner (PMI-ACP), or certified scrum master (CSM), it offers a more fundamental agile certification based on agile principles and how sprint planning enables hyper productivity in industry today. You'll finish this course more than ready to continue your agile journey, which we hope takes you to the next course in the series on “Agile Innovation and Problem Solving Skills.”Upon successful completion of this course, learners can earn 10 Professional Development Unit (PDU) credits, which are recognized by the Project Management Institute (PMI). PDU credits are essential to those looking to maintain certification as a Project Management Professional (PMP).","Week 1: The first week focuses the discussion on Agile to its primary benefit, Speed, and how to easily calculate and prove its supremacy in benefits of any project management method because of timing impacts and market changes outside a project manager’s control. Week 2: The second week explores why and how varying scope is the most powerful method to achieve speed; introducing the Exponential Pareto Principle and how to apply it effectively. Perhaps the most important lesson is that not all product backlog items are equal, and in fact, most don't matter at all! Week 3: The third week dives into second tier methods for achieving speed through sizing, simplicity, and sprints with real-world examples ranging from air and space craft to software. Team members work together to ensure a smooth glide on the burndown chart by actively managing work in process during daily scrum sessions. Week 4: The last week teaches ground-level techniques to avoid delays, increase speed, and apply a full range of planning, execution, and control techniques that will guarantee 2x or better improvement on traditional projects. This week is essential to producing a winning product backlog and release plan.",https://www.edx.org/course/driving-speed-through-agile-planning-2
Introduction to Water and Climate,This course is part of a XSeries Program,"36,320",Self-paced on your time,Delft University of Technology,Caroline Katsman-Herman Russchenberg-Hubert Savenije-Marcel Stive,Intermediate,Engineering,English,English,6–8 hours per week,10 Weeks,FREE-Add a Verified Certificate for $50 USD,"Water is essential for life on Earth and of crucial importance for society. Water also plays a major role in affecting climate. Its natural cycle, from ocean to atmosphere by evaporation, then by precipitation back to land returning via rivers and aquifers to the oceans, has a decisive impact on regional and global climate patterns.For students of engineering, climate science and environmental studies, this course offers a first introduction to the physics of water systems and their role in climate. In addition, we show you the state-of-the-art engineering interventions that can be applied to water systems. These can improve coastal safety and increase the availability of water supplies worldwide.The course welcomes students from all over the globe, so we actively encourage discussion of water and climate issues you may experience in your location, now and in the coming decades.After taking this course, you will be able to:The course consists of knowledge clips, movies, exercises, and exam assignments. There are opportunities to discuss course materials with your fellow students and the Course Team through our online forum. We also provide interactive feedback video sessions in which the lecturers discuss issues raised by students.Delft University of Technology (TU Delft) has a unique reputation when it comes to water and climate, with faculty experts in the fields of climate research, water management and hydraulic engineering. The course introduces you to many aspects of water and climate: from the micro scale of raindrops to the macro scale of oceans, and from understanding the physics of the different water systems to practical engineering solutions that may help societies adapt to the present and future impacts of climate change on water.Together with the courses ""Drinking water treatment"" and ""Urban Sewage Treatment"" this course forms the Water XSeries, from the Faculty of Civil Engineering and Geosciences at TU Delft.",,https://www.edx.org/course/introduction-to-water-and-climate
The Medieval Icelandic Sagas,"Learn about the Icelandic Sagas, the characteristic literary genre of Medieval Iceland comprising roughly 40 texts.","11,176",Self-paced on your time,The University of Iceland,Hjalti Snær Ægisson-Beth Rogers,Intermediate,Humanities,English,English,2–3 hours per week,6 Weeks,FREE-Add a Verified Certificate for $50 USD,"The Medieval Icelandic Sagas is an introductory course on the single most characteristic literary genre of Medieval Iceland. Mainly written in the 13th century, the Icelandic Sagas are comprised of roughly 40 texts of varying length. In this course, you will learn about three Sagas, written at different times, with the aim of giving an overview of the writing period and the genre as a whole. These are Eyrbyggja Saga, Njáls Saga and Grettis Saga. We will explore the landscape and archaeology of Iceland to see how they can add to our understanding of the Sagas as well as take an in-depth look at the most memorable characters from the Sagas. Participants will have opportunities to engage with an online community of Icelandic and international scholars, learners and others to explore topics relating to Icelandic and Nordic Medieval history beyond the course curriculum. The Medieval Icelandic Sagas course is associated with a two-year international master’s program in Viking and Medieval Norse Studies at the University of Iceland.","Week 1 : Historical overview. We explore what is unique about the Sagas as a genre, compare some contrasting views on their origin and examine how the Sagas are related to other works of European Medieval literature. Week 2 : Manuscripts. We get an overview of the world of Old Norse manuscripts and talk to some experts of Icelandic textual criticism about the extant (and lost) manuscripts of our three main Sagas. Week 3 : Landscape and Archaeology. We visit a few of the most important historical sites of Iceland and ask how they can add to our understanding of the Sagas. Week 4 : Saga Characters. We meet some memorable characters from our three main Sagas and look at their careers and conflicts. By contextualizing their biographies we come to understand the functioning of the Medieval Icelandic Commonwealth. Week 5 : Paganism and Christianity. We ask how traces of Norse Mythology can be interpreted in the Sagas, even if they are written over two hundred years after paganism officially comes to a close in Iceland. We evaluate the impact of Iceland's conversion and how it is described in the Sagas. Week 6 : The Supernatural. We address the profusion of supernatural elements, the contradiction at the core of the Sagas' presumed realism.",https://www.edx.org/course/the-medieval-icelandic-sagas-2
Visual Presentation,"Learn how impactful images can enhance your presentation, communication and messaging to impress your audience.",NA,Self-paced on your time,Rochester Institute of Technology,Lori Marra,Introductory,Communication,English,English,4–6 hours per week,3 Weeks,FREE-Add a Verified Certificate for $199 USD,"Visual elements are critical components in effective communication and presentation. The importance of imagery and how it relates to branding, memory recall, and awareness cannot be underestimated. Whether it's a document, presentation, or video, using one relevant image can replace an entire section of text and be more impactful.This course, part of the Communication Skills Professional Certificate program, is an introduction to key principles, best practices, and ethics of visual communication for professionals who are not designers by trade. Learners will practice creating visual communication that seeks to educate, inform, persuade, and/or entertain specific target audiences. You will also analyze visual messages appearing in a variety of media and digital platforms.",,https://www.edx.org/course/visual-presentation-3
Community Engagement: Collaborating for Change,"Learn principles and strategies for engaging with U.S.-based and global communities through partnerships, research, service, and learning","11,818",Self-paced on your time,The University of Michigan,Community Engagement Course Team,Introductory,Social Sciences,English,English,2–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,"Now more than ever, people are seeking ways to affect change in their communities — both locally and around the world. This course is for anyone — from novices to experienced practitioners — who wants to work more effectively with community members and organizations, including through, but not limited to: Prepare in advance or take this course simultaneously to get the most out of your experience by engaging with communities ethically, respectfully, and sustainably. Developed by a highly interdisciplinary team of U-Mcontent experts and faculty, this course is designed to be both engaging and challenging, offering an accessible entry into foundational topics as well as a jumping off point to pursue work and further learning in effective community engagement. It is also a toolkit and a roadmap that offers concrete takeaways and resources for working effectively with communities. Throughout the course, you’ll learn from experienced U-M students, faculty, and staff and local community partners, and you’ll have many opportunities to try out and apply the principles and concepts you’re learning. No prior community engagement experience necessary.Key concepts and strategies you’ll learn: ",Course Modules: ,https://www.edx.org/course/community-engagement-collaborating-for-change
Introducción al Internet de las Cosas (IoT),Este es un curso en linea preliminar en el quetratamoslos conceptos basicos de electronica y programacion utilizando placas Arduino y ESP.,"6,322",Self-paced on your time,Universitat Politècnica de Valencia,Leopoldo Armesto Ángel,Introductory,Electronics,Español,Español,5–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $50 USD,"El internet de las cosas (Internet of things o IoT) es el presente y el futuro de la tecnologia.Tanto si tienes algo de experiencia con la electronica y deseas desarrollar proyectos como si no tienes ninguna, este curso online te daralos conocimientos inicialesnecesarios para comenzar a crear dispositivos increibles capaces demedir y controlar señales fisicas. Este curso de informatica y electronica te introduce en este campousando placas Arduino y ESP. Este es un curso preliminar en el que tratamos conceptos basicos de electronica y programacion. Si ya conoces estos conceptos basicos, la segunda parte de este curso sera de su interes, ya que sera donde comenzaremos a crear dispositivos inteligentes.",,https://www.edx.org/course/introduccion-al-internet-de-las-cosas-iot
"Proteins: Alignment, Analysis and Structure",Learn about proteins and the important role structure plays in their function as you learn how to analyze and align protein sequences.,"23,560",Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,James Coker,Advanced,Biology & Life Sciences,English,English,8–10 hours per week,8 Weeks,FREE-Add a Verified Certificate for $249 USD,"Proteins play a very important role in all organisms. In fact, most of the work that happens inside every cell happens because a specific protein is employed for a specific task. Often the three-dimensional shape of a protein plays a major role in its function. As such, it is important to know the structure of all proteins to have an idea of what function they perform.One of the jobs of a bioinformatician is to predict the three-dimensional structure of a protein using only the DNA sequence that encodes it as well as determining the effects of any mutations in the DNA on the three-dimensional structure/function.In this course, part of the Bioinformatics MicroMasters program, you will learn about protein structure and its impact on function, practice aligning protein sequences to discover differences, and generate model structures of proteins using web and software-based approaches. This course is part of the Bioinformatics MicroMaster’s program from UMGC. Upon completion of the program and receipt of the verified MicroMaster’s certificate, learners may then transition into the full UMGC Master’s Program in Biotechnology with a specialization in Bioinformatics without any application process or testing. See the MicroMasters program page for more.",,https://www.edx.org/course/proteins-alignment-analysis-and-structure
AI Applications with Watson,"Turbocharge your chatbot's IQ and AI capabilities with IBM Watson Discovery and powered by Watson Assistant. Learn to use and program tools and assitant services such as Tone Analyzer and Personality Insights to build queries, extract information big data repositories.","9,173",Self-paced on your time,IBM,Rav Ahuja,Intermediate,Computer Science,English,English,2–4 hours per week,3 Weeks,FREE-Add a Verified Certificate for $99 USD,"By enrolling in this course, chances are you've studied artifical intelligence, built chatbots and have perhaps even used Watson Assistant along the way. But did you know that you can turbocharge your chatbot's IQ with IBM Watson Discovery, a service designed to reveal the hidden value in your data? Discovery specializes in taking your data--structured or unstructured--and extracting from it answers and patterns.For example, if you have a large repository, the contents of which could answer customer questions, you've got the makings of a great FAQ chatbot.In this course, you'll learn how to build queries in Discovery, which allows you to surface answers and patterns from large repositories of data. You'll next learn to use Discovery to extract insights from a set of hotel reviews. Then, to make that data come to life, you'll integrate Discovery with other Watson services to create a chatbot that can tell you about the best hotels in a certain US city. By using these Watson services, you'll add more layers of analysis to help you find the best hotel.You'll build your chatbot application with the following Watson services:By the end of this course, you will have built a fully functioning AI-powered chatbot. Moreover, you should be able to apply the services taught here to your own data sets, enabling you to create sophisticated chatbots of your own.",Lab 2: Build queries by using Watson Discovery Lab 3: Enhance a chatbot with Discovery Get the starter code and credentialsIntegrate Discovery with the chatbotTest the application Lab 4: Gain insights by using Discovery Get the data into DiscoveryFind basic insights in the data Lab 5: Analyze the tone from hotel reviews Watson Tone Analyzer overviewDeploy the Tone Analyzer serviceAnalyze the tone in hotel reviewTest the tone analysis Lab 6: Analyze customer preferences Watson Personality Insights overviewDeploy the Personality Insights serviceGet the personality profileTest the application Final exam,https://www.edx.org/course/AI-applications-with-watson
Data Analytics and Visualization in Health Care,"Learn best practices in data analytics, informatics, and visualization to gain literacy in data-driven, strategic imperatives that affect all facets of health care.","7,304",Self-paced on your time,Rochester Institute of Technology,Travis Masonis-Matthew Phillips-Jodi Lubba-Johnny Brown,Advanced,Data Analysis & Statistics,English,English,8–10 hours per week,8 Weeks,FREE-Add a Verified Certificate for $249 USD,"Big data is transforming the health care industry relative to improving quality of care and reducing costs--key objectives for most organizations. Employers are desperately searching for professionals who have the ability to extract, analyze, and interpret data from patient health records, insurance claims, financial records, and more to tell a compelling and actionable story using health care data analytics. The course begins with a study of key components of the U.S. health care system as they relate to data and analytics. While we will be looking through a U.S. lens, the topics will be familiar to global learners, who will be invited to compare/contrast with their country's system. With that essential industry context, we'll explore the role of health informatics and health information technology in evidence-based medicine, population health, clinical process improvement, and consumer health. Using that as a foundation, we'll outline the components of a successful data analytics program in health care, establishing a ""virtuous cycle"" of data quality and standardization required for clinical improvement and innovation. The course culminates in a study of how visualizations harness data to tell a powerful, actionable story. We'll build an awareness of visualization tools and their features, as well as gain familiarity with various analytic tools.","Module 1: Introduction to Health Care Components of Health Care
Stakeholders
Care Settings
Financing
Public Health
Regulatory/Research Challenges and Opportunities
The Triple Aim
Quality and Cos
Patient Experience/Access Systems Approach
Evidence-Based Medicine
Quality Improvement
Value-Based Reimbursement Health Care Trends
Demographics/Population Health
Consumerism/Personalized Medicine
Emerging Trends in Health Care Module 2: Introduction to Health Informatics Overview of Health IT
What is Health Informatics?
How Health Informatics Supports Triple Aim Health IT Systems and Components
EMR/EHR Modules and Ancillary Data Systems
Enterprise Systems vs. Best of Breed
Structured Versus Unstructured Data EHR Adoption
EHR Regulations
Barriers to EHR Adoption Interoperability and HIT Standards
Health IT Standards
Data Exchange
Clinical Decision Support
HIPAA Security Public Health IT and Consumer Engagement Module 3: Introduction to Data Analytics Data Terms and Concepts
Why Data Analytics?
Virtuous Cycle in Analytics
Data Terminology
Big Data Terminology Getting Data Ready for Analysis
Considerations Before Analyzing
Integrating Data Across Data Sets Data Governance, Privacy, and Security
Data Governance Within the Organization
Patient Identification
Regulatory Considerations and Data Security Analysis with Artificial Intelligence
Machine Learning in Health Care
Natural Language Processing in Health Care Making Data Usable to Others
Finalizing Data for Analysis
Communicating Data Module 4: Introduction to Visualizations Value of Visualization Visualization Best Practices
What Not to Do
Types Based on Use Case
Visualizations of Complex Data
Dashboard Design Analyzing Visuals
Exploratory vs. Explanatory Visualization
Quantitative vs. Qualitative Visualization
Uses in Health Care Tools for Analysis and Visualization
Gartner Software Benchmarking
Current Tools",https://www.edx.org/course/data-analytics-and-visualization-in-health-care
Question Everything: Scientific Thinking in Real Life,Learn how to use math and science to solve everyday problems.,"34,279",Self-paced on your time,The University of Queensland,Noël Chan-Scott Jones-Derek McDowall-Anthony Mewing,Introductory,Math,English,English,2–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $59 USD,"Have you ever wondered how you can apply math and science skills to real life? Do you wish you could go beyond what you've learned in the classroom? This science course will advance your knowledge as we unpack some important scientific thinking skills using real-world examples. By completing this course, you will be better prepared to continue studying math and science at the high school level and beyond.In this course, a collaboration between The University of Queensland and Brisbane Grammar School, we will cover key scientific concepts related to:Each concept will be explored through real world examples and problems that will help you visualize how math and science work in your life.This course is ideal for high school students looking to challenge themselves and further develop an interest in math and science. It is also applicable to high school science teachers looking for additional materials for teaching.","MODULE 1: Data and Measurement
Meet the course team and an introduction to the course content and navigation. We look at how speed is calculated using a LiDAR (Light Detection and Ranging). MODULE 2: Estimation and Measurement
We investigate the different ways in which we might perform an estimation and then use estimation to solve a variety of problems. MODULE 3: Validity of Evidence
We explore the difference between quantitative and qualitative evidence and develop our understanding of validity as it relates to evidence. MODULE 4: Evidence and Opinion
Learn the important difference between evidence and opinion, and test that understanding by conducting an experiment. MODULE 5: Misconceptions
Through a series of investigations and experiments we look at how misconceptions are formed and how to construct a better understanding of the facts surrounding a common misconception. MODULE 6: Modelling
We use data from a number of Olympic and World records to develop models and feature a graphing tool to better understand data modelling. MODULE 7: Prediction and Extrapolation
We continue to use Olympic and World records to move beyond modelling in order to extrapolate information and make predictions. MODULE 8: Synthesis and Application
Finally, we synthesise the concepts covered in all 7 modules to perform an experiment related to the calculation of gravity.",https://www.edx.org/course/question-everything-scientific-thinking-in-real-li
Introduction to Lifestyle Medicine,Gain a basic understanding of the main components of lifestyle medicine as well as the importance of using the coach approach when counseling patients about behavior change.,"9,002",Self-paced on your time,Doane University,"Amanda McKinney, MD, FACLM",Introductory,Biology & Life Sciences,English,English,5–10 hours per week,8 Weeks,FREE-Add a Verified Certificate for $79 USD,"This course is credit eligible through Doane University's Open Learning Academy. The Open Learning Academy's 3-4 credit hour courses are designed to provide learners with foundational coursework for undergraduate level programs. It is strongly encouraged that you consult with your institution of choice to determine how these credits will be applied to their degree requirements prior to transferring the credit. Lifestyle factors including poor nutrition and physical inactivity are critical determinants of health, causing a pandemic of chronic diseases, premature death and unsustainable healthcare costs. Currently, 50 percent of Americans live with one or more chronic illnesses in which diet, exercise and stress play a key role. Lifestyle Medicine is the science and application of 49 healthy lifestyles as interventions for the prevention and treatment of lifestyle-related diseases such as heart disease, diabetes, stroke, obesity, some neurological conditions and some cancers. It is the evidence-based specialty bridging the science of physical activity, nutrition, stress management and resilience; sleep hygiene and other healthy habits to individuals through clinical practice in healthcare. BIOL-212x Introduction to Lifestyle Medicine from DoaneX is a credit-eligible course. Learners have the opportunity to experience this same rigorous university-level course on a flexible schedule and earn academic credit when they pass the course with a C or better. Credit details: Number of credit hours for BIOL-212x Introduction to Lifestyle Medicine: 3 credit hours. 
Cost: $500 (USD) - pay for credit earned after passing the course with a C or better. Eligibility: ",,https://www.edx.org/course/introduction-to-lifestyle-medicine
